city	state	zip	latitude	longitude	avgMurderCount	avgNegligentManSlaughter	avgForcibleSexOffense	avgNonForcibleSexOffense	avgRobbery	avgAggravatedAssault	avgBurglary	avgVehicleTheft	avgArson	avgWeaponOffense	avgDrugViolations	avgLiquorViolations
San Antonio	TX	78221	29.326586	-98.50217	0	0	0	0	0	5.56	22.22	11.11	0	0	11.11	0
San Antonio	TX	78224	29.333436	-98.53934	0	0	16.67	0	8.33	16.67	100	183.33	0	0	66.67	0
San Antonio	TX	78226	29.392167	-98.55468	0	0	0	0	0	0	116.67	66.67	0	0	0	0
San Antonio	TX	78228	29.457281	-98.5665	0	0	50	16.67	33.33	16.67	216.67	250	0	33.33	750	2400
San Antonio	TX	78229	29.499454	-98.57166	0	0	0	0	3.51	8.77	103.51	15.79	0	3.51	10.53	1.75
San Antonio	TX	78230	29.539562	-98.55253	0	0	0	0	0	0	26.67	6.67	0	0	0	0
San Antonio	TX	78233	29.552128	-98.36775	0	0	0	0	0	0	50	0	0	0	0	0
San Antonio	TX	78238	29.479874	-98.61509	0	0	0	0	8.33	0	16.67	83.33	0	0	0	0
San Antonio	TX	78239	29.51613	-98.36161	0	0	0	0	0	0	550	83.33	0	0	0	0
San Antonio	TX	78249	29.569934	-98.61282	0	0	141.67	0	41.67	83.33	516.67	108.33	8.33	66.67	5575	16458.33
San Antonio	TX	78251	29.466061	-98.67004	0	0	16.67	0	66.67	16.67	50	266.67	66.67	33.33	266.67	0
San Antonio	TX	78259	29.627332	-98.42781	0	0	0	0	0	0	0	0	0	0	0	0
San Benito	TX	78586	26.111261	-97.63519	0	0	0	0	0	0	66.67	0	0	0	0	0
San Bernardino	CA	92405	34.141659	-117.29722	0	0	0	0	0	0	16.67	33.33	0	0	0	0
San Bernardino	CA	92407	34.198189	-117.35826	0	0	183.33	16.67	66.67	350	1483.33	1250	0	183.33	916.67	133.33
San Bernardino	CA	92408	34.080662	-117.27357	0	0	0	0	3.33	3.33	6.67	11.67	0	0	0	0
San Bernardino	CA	92410	34.106965	-117.2975	0	0	116.67	0	166.67	83.33	1883.33	1866.67	66.67	400	1166.67	516.67
San Bruno	CA	94066	37.625908	-122.42363	0	0	16.67	0	16.67	100	266.67	166.67	0	50	33.33	16.67
San Diego	CA	91942	32.785	-117.0186	0	0	0	0	0	0	0	0	0	0	0	0
San Diego	CA	92101	32.719601	-117.16246	2.08	0	8.33	0	12.5	12.5	58.33	35.42	0	18.75	368.75	93.75
San Diego	CA	92102	32.714992	-117.12537	0	0	0	0	8.33	0	16.67	0	0	0	0	0
San Diego	CA	92105	32.741256	-117.0951	0	0	0	0	0	0	0	0	0	0	0	0
San Diego	CA	92106	32.7259	-117.23079	0	0	33.33	0	0	16.67	666.67	266.67	0	0	0	16.67
San Diego	CA	92108	32.7736	-117.13785	0	0	0	0	1.67	5	38.33	20	1.67	0	0	0
San Diego	CA	92109	32.791246	-117.24343	0	0	0	0	0	0	0	0	0	0	0	0
San Diego	CA	92110	32.766482	-117.20077	0	0	116.67	0	11.11	16.67	983.33	272.22	33.33	16.67	105.56	144.44
San Diego	CA	92111	32.804972	-117.16871	0	0	33.33	0	33.33	77.78	188.89	600	0	0	644.44	88.89
San Diego	CA	92113	32.697402	-117.12001	0	0	8.33	0	25	33.33	25	8.33	0	0	0	0
San Diego	CA	92115	32.7603	-117.07031	0	0	0	0	0	0	33.33	0	0	0	0	0
San Diego	CA	92117	32.823865	-117.19966	0	0	0	0	0	0	0	0	0	0	0	0
San Diego	CA	92121	32.899996	-117.20722	0	0	0	0	0	0	0	0	0	0	0	0
San Diego	CA	92122	32.856447	-117.21143	0	0	0	0	0	0	0	0	0	0	0	0
San Diego	CA	92123	32.803799	-117.13595	0	0	0	0	2.56	2.56	17.95	15.38	0	0	0	2.56
San Diego	CA	92126	32.914346	-117.14116	0	0	33.33	0	0	133.33	33.33	116.67	0	0	150	50
San Diego	CA	92127	33.022384	-117.10694	0	0	0	0	0	0	0	0	0	0	0	0
San Diego	CA	92131	32.918035	-117.08438	0	0	0	0	16.67	50	383.33	100	0	16.67	100	150
San Diego	CA	92132	32.643703	-117.138414	0	0	0	0	0	0	0	0	0	0	33.33	66.67
San Diego	CA	92135	33.016928	-116.846046	0	0	0	0	0	0	0	0	0	0	0	0
San Diego	CA	92140	32.74344	-117.200412	0	0	0	0	0	0	0	0	0	0	0	0
San Diego	CA	92154	32.574398	-117.05633	0	0	0	0	0	8.33	58.33	8.33	0	0	0	0
San Diego	CA	92182	32.775088	-117.076176	0	0	733.33	0	516.67	650	5366.67	3966.67	133.33	733.33	8066.67	5116.67
San Dimas	CA	91773	34.103341	-117.81814	0	0	0	0	8.33	8.33	41.67	25	0	8.33	0	0
San Fernando	CA	91340	34.284935	-118.43821	0	0	0	0	0	0	0	0	0	0	0	0
San Francisco	CA	94102	37.779329	-122.41915	0	0	11.11	0	133.33	127.78	222.22	27.78	0	0	38.89	0
San Francisco	CA	94103	37.772329	-122.41087	0	0	0	0	20.51	2.56	41.03	2.56	0	0	0	0
San Francisco	CA	94105	37.789228	-122.3957	0	0	76.19	0	90.48	90.48	423.81	4.76	0	0	4.76	0
San Francisco	CA	94107	37.766529	-122.39577	0	0	8.33	0	0	0	0	0	0	0	0	0
San Francisco	CA	94108	37.792678	-122.40793	0	0	0	0	13.33	0	26.67	0	0	0	0	0
San Francisco	CA	94110	37.74873	-122.41545	0	0	0	0	0	0	0	0	0	0	0	0
San Francisco	CA	94111	37.798228	-122.40027	0	0	0	0	0	0	13.33	0	0	0	0	0
San Francisco	CA	94112	37.720931	-122.44241	0	0	266.67	0	450	66.67	916.67	400	0	283.33	633.33	366.67
San Francisco	CA	94115	37.786129	-122.43736	0	0	0	0	0	0	0	0	0	0	0	0
San Francisco	CA	94117	37.770937	-122.44276	0	0	108.33	0	33.33	50	483.33	66.67	25	16.67	25	0
San Francisco	CA	94132	37.724231	-122.47958	0	0	266.67	0	266.67	16.67	3450	933.33	166.67	333.33	3966.67	1133.33
San Francisco	CA	94133	37.801878	-122.41018	0	0	0	0	0	0	266.67	16.67	0	0	0	0
San Francisco	CA	94143	37.76313	-122.458582	0	0	250	0	66.67	100	750	316.67	16.67	116.67	350	0
San Jacinto	CA	92583	33.788491	-116.95125	0	0	0	0	16.67	33.33	266.67	83.33	0	66.67	50	0
San Jose	CA	95110	37.335545	-121.89877	0	0	0	0	83.33	0	133.33	50	0	0	0	0
