UNITID_P	INSTNM	BRANCH	ADDRESS	CITY	STATE	ZIP	LATITUDE	LONGITUDE
214111001	Montgomery County Community College	Montgomery County Community College Central Campus	340 DEKALB PIKE	BLUE BELL	PA	194220796	40.157526	-75.27816
210571005	Albright College	Blue Bell Campus	340 DeKalb Pike	Blue Bell	PA	19422	40.157526	-75.27816
216524001	Ursinus College	Main Campus	601 E. MAIN ST	COLLEGEVILLE	PA	194261000	40.185637	-75.44873
214111003	Montgomery County Community College	Montgomery County Public Safety Training Campus	1175 Conshohocken Road  PA	Conshohocken	PA	19428	40.077736	-75.30509
212832001	Gwynedd Mercy University	Main Campus	1325 Sumneytown Pike	Gwynedd Valley	PA	194370901	40.183763	-75.26271
211130001	Biblical Theological Seminary	Main Campus	200 N Main St	Hatfield	PA	19440	40.278294	-75.29479
213491001	Lansdale School of Cosmetology Inc	Lansdale School of Cosmetology.Inc	215 W MAIN ST	LANSDALE	PA	194462003	40.237206	-75.29156
213473001	Lansdale School of Business	Main Campus	290 WISSAHICKON AVE	NORTH WALES	PA	194544114	40.223524	-75.24731
216542001	Valley Forge Christian College	Main Campus	1401 CHARLESTOWN ROAD	PHOENIXVILLE	PA	19460	40.126271	-75.52341
210571009	Albright College	Phoenixville Campus	Franklin Commons 400 Franklin Avenue	Phoenixville	PA	19460	40.126271	-75.52341
213367003	La Salle University	Montgomery Graduate Center	4000 Chemical Road, suite 110	Plymouth Meeting	PA	19462	40.115959	-75.29257
212832003	Gwynedd Mercy University	East Norriton Campus	480 E. Germantown Pike	East Norriton	PA	19462	40.115959	-75.29257
250072001	Antonelli Medical and Professional Institute	Main Campus	1700 Industrial Highway	Pottstown	PA	19464	40.253496	-75.63481
214111002	Montgomery County Community College	Montgomery County Community College-West Campus	101 College Dr	Pottstown	PA	19464	40.253496	-75.63481
