UnitId	SetorCode	Address	City	State	Zip	Latitude	Longitude	TotalMen	TotalWomen	Murder	NegM	Forcib	NonForcib	Robbe	AggA	Burgla	Vehic	Arson
376330001	9	42, 38, 41,49 ACOSTA ST	CAGUAS	PR	007250000	18.233927	-66.04502	60	265	0	0	0	0	0	0	0	0	0
438984001	9	14 Intendente Ramirez St	Caguas	PR	007250000	18.233927	-66.04502	73	88	0	0	0	0	0	0.33	0	0	0
475644001	9	Ave Luis Munoz Marin Esq Georgetti	Caguas	PR	007256485	18.233927	-66.04502	3	21	0	0	0	0	0	0	0	0	0
414461001	6	P.O. BOX 6118	CAGUAS	PR	007250000	18.233927	-66.04502	3093	169	0	0	0	0	0	0	0	0	0
468723001	3	190 Ave Gautier Benitez  Esq Ave Federico Degetau	Caguas	PR	007250000	18.233927	-66.04502	276	644	0	0	0	0	1.33	0.33	0	0.33	0
241304001	3	CARR 183 KM 1 7	CAGUAS	PR	00725	18.233927	-66.04502	574	1249	0	0	0	0	0	0	0	0	0
430670002	2	Carretera 172 Urb. Turabo Gardens	Caguas	PR	007250000	18.233927	-66.04502	141	154	0	0	0	0	0	0	0	0	0
430670001	2	Carretera 172 Urb. Turabo Gardens	Caguas	PR	007250000	18.233927	-66.04502	141	154	0	0	0	0	0	0	0	0	0
242422014	6	Carretera #1 Sector Bairoa Km. 33.7	Caguas	PR	00726	18.212965	-66.058033	7119	9220	0	0	0	0	2.67	0	0	0.33	0
242112001	6	#41 HECTOR R BUNKER  ST	CAGUAS	PR	00726	18.212965	-66.058033	585	670	0	0	0	0	0	0	0.33	0	0
376321001	6	CALLE G_NOVA N_M 8 ESQ 5 URB CAGUAS NORTE	CAGUAS	PR	007269120	18.212965	-66.058033	241	511	0	0	0	0	0.33	0.67	0	1	0
451501001	9	Isabel St #15	Ponce	PR	00730	18.022626	-66.61727	53	72	0	0	0	0	0	0	0	0	0
431123001	9	VILLA ST #190	PONCE	PR	007304875	18.022626	-66.61727	353	3	0	0	0	0	0	0	0	0	0
419721001	9	Calle Villa No.452	Ponce	PR	00731	18.077329	-66.61192	207	10	0	0	0	0	0	0	0	0	0
414461005	6	P.O. Box 10430	Ponce	PR	00732	18.021781	-66.613742	3093	169	0	0	0	0	0	0	0	0	0
243601006	2	Carr. #14 Km 3.4 Bo. Machuelos	Ponce	PR	00732	18.021781	-66.613742	6958	10329	0	0	0	0	0	1.33	0.33	0	0
243081001	2	Urb Industrial Reparada 2 #388	PONCE	PR	00732	18.021781	-66.613742	206	463	0	0	0	0	1.33	0	0	0	0
243151001	1	205 Antonio R. Barcelo Ave.	Cayey	PR	00736	18.112895	-66.15377	1270	2546	0	0	0	0	0	1	1.33	1.67	0.33
455956001	9	Carr. 735 Km 0.4	Cayey	PR	00737	18.102967	-66.139274	27	82	0	0	0	0	0	0	0	0	0
242422004	6	Calle Jose De Deigo #256	cayey	PR	00737	18.102967	-66.139274	7119	9220	0	0	0	0	0.67	0	0	0	0
243601003	2	Carr. # 14 Edificio La Sierra K.m. 70.6 Bo Montell	Cayey	PR	00737	18.102967	-66.139274	6958	10329	0	0	0	0	0	0	0.67	0	0
438337002	9	Calle Dr. Lopez #10	Fajardo	PR	00738	18.32265	-65.66116	45	143	0	0	0	0	0.67	0	0	0	0
431123002	9	Street Antonio R Barcelo # 6	Fajardo	PR	007384814	18.32265	-65.66116	353	3	0	0	0	0	0	0	0	0	0
242422006	6	Carretera #3 Km. 44.0 Bo. Quebrada	Fajardo	PR	00738	18.32265	-65.66116	7119	9220	0	0	0	0	0	0	0	0	0
242680001	2	CALLE UNION-BATEY CENTRAL CARR 195	FAJARDO	PR	007387003	18.32265	-65.66116	903	1356	0	0	0	0	0	0	0	0	0
444042001	3	PO Box 3064	RIO GRANDE	PR	00745	18.366213	-65.82277	605	1264	0	0	0	0	2	0.33	0.33	0	0
448123001	9	Calle Munoz Rivera #57 Sur	San Lorenzo	PR	00754	18.15633	-65.96831	25	95	0	0	0	0	0	0	0	0	0
243346004	2	PO Box 756	Santa Isabel	PR	007579998	17.98631	-66.39457	5075	8345	0	0	0	0	0	0	0	0.67	0
242422012	6	Carr. 200 Km. 1.7 int carr #993 Bo. Monte Santo	Vieques	PR	00765	18.125664	-65.45603	7119	9220	0	0	0	0	0	0	0	0	0
243601002	2	Carr. # 901 k.m. 1.4 Bo. Juan Martin	Yabucoa	PR	00767	18.072752	-65.89703	6958	10329	0	0	0	0	0	0	0	0	0
448707001	9	Calle Ramn++n Power #5	Coamo	PR	00769	18.092813	-66.3611	79	175	0	0	0	0	0	0	0.33	0	0
242413001	9	CARR189 KM 6.0	GURABO	PR	00778	18.258628	-65.97791	194	72	0	0	0	0	0	0	0	0	0
243601001	2	CARR. # 189 KM 3.3	GURABO	PR	007783030	18.258628	-65.97791	6958	10329	0	0	0	0	0	0.33	1.67	0	0
458469001	3	PO Box 801243 Coto Laurel	Ponce	PR	007801243	18.068538	-66.55939	323	795	0	0	0	0	2.67	0	1	0	0
241739005	2	Carr. 156 Calle Georgetti #22	Comerio	PR	00782	18.223348	-66.2267	4833	8798	0	0	0	0	0	0	0	0	0
418773002	9	Carretera 159, kM 13.4 Desvio de Corozal & Centro Comercial Corozal	Corozal	PR	007839717	18.304874	-66.32305	618	932	0	0	0	0	0	0	0	0	0
418700001	9	Calle Hostos 27 Esq Vicente Pales	Guayama	PR	00784	17.984137	-66.12779	129	146	0	0	0	0	0	0	0	0	0
242422005	6	Edificio Iraola RR1 Box 6092	Guayama	PR	007849604	17.984137	-66.12779	7119	9220	0	0	0	0	3	0	0	0	0
242699001	2	BO MACHETE ST. 744 KM 1.2	GUAYAMA	PR	00784	17.984137	-66.12779	766	1403	0	0	0	0	0.33	0	0	0	0
242556001	4	URB. VIVES, FINAL	GUAYAMA	PR	007850000	18.018822	-66.795603	522	339	0	0	0	0	0	0	3	0	0
242422016	6	908 Tejas Ave.	Humacao	PR	00791	18.147257	-65.82269	7119	9220	0	0	0	0	0.67	0	0	0	0
376224001	2	6 DR VIDAL ST	HUMACAO	PR	007914210	18.147257	-65.82269	207	536	0	0	0	0	0	0	0	0	0
444671001	9	NO 16 CARRERAS ST	HUMACAO	PR	00792	18.138029	-65.788499	131	127	0	0	0	0	0	0	0	0	0
243407001	8	Calle Font Martelo #355	HUMACAO	PR	007920859	18.138029	-65.788499	6	8	0	0	0	0	0	0	0	0	0
242121001	2	Georgetti St 69	Humacao	PR	00792	18.138029	-65.788499	264	441	0	0	0	0	0	0	0	0	0
243179001	1	Call Box 860	Humacao	PR	00792	18.138029	-65.788499	1233	2262	0	0	0.33	0	0	0.67	2.67	0.33	0
418773001	9	3 CALLE BARCELO SUITE 215	BARRANQUITAS	PR	00794	18.204294	-66.31058	618	932	0	0	0	0	0	0	0	0	0
242422015	6	Carretera 719 Km. 1.5 Bo. Helechal	Barranquitas	PR	00794	18.204294	-66.31058	7119	9220	0	0	0	0	0	0	0	0	0
242644001	2	BO HELECHAL CARR 156 INTERSECCION 719	BARRANQUITAS	PR	007940517	18.204294	-66.31058	773	1300	0	0	0	0	0	0	0	0	0
404684001	9	101 CARR 592	JUANA DIAZ	PR	00795	18.036253	-66.50289	136	268	0	0	0	0	0	0.33	0	0	0
242662004	2	Plaza del Mercado Edificio A 2do Nivel,	Juana Diaz	PR	00795	18.036253	-66.50289	2311	3510	0	0	0	0	0	0	0	0	0
243665001	1	#2 JOHN BREWERS BAY	CHARLOTTE AMALIE	VI	008029990	18.322285	-64.963715	703	1618	0	0	0	0	1.33	4.67	5.67	0.67	0
243665002	1	RR1 - 10,000 Kingshill	St. Croix	VI	008509781	17.734211	-64.734694	703	1618	0.33	0	0	0	0	0	1	0.33	0
241793001	2	Calle Del Cristo #52	San Juan	PR	00901	18.465426	-66.10786	200	303	0	0	0	0	0	0	0	0	0
241331001	2	SAN FRANCISCO ST  151 OLD SAN JUAN	SAN JUAN	PR	009023711	18.410462	-66.060533	148	771	0	0	0	0	0	0	0	0	0
241951001	1	CAMPO DEL MORRO BARRIO BALLAJA & SAN SEBASTIAN ST	SAN JUAN	PR	009021112	18.410462	-66.060533	201	328	0	0	0	0	0	0	0	0	0
242884001	9	1256 PONCE DE LEON AVE	SANTURCE	PR	009073917	18.451131	-66.07798	1217	3214	0	0	0	0	0	0	0	0	0
436553001	9	1316 Ponce De Leon Avenue	San Juan	PR	00907	18.451131	-66.07798	60	165	0	0	0	0	0	0	0	0	0
241766001	1	951 AVE. PONCE DE LEON, MIRAMAR	SAN JUAN	PR	00907	18.451131	-66.07798	330	162	0	0	0	0	0	0	0	0	0
241182001	9	Cayey Street 1911 William Jones Corner	SANTURCE	PR	00909	18.442282	-66.06764	149	399	0	0	0	0	3	0	0	0	0
243443001	2	CALLE ROSALES  PDA 26 1/2	SANTURCE	PR	00909	18.442282	-66.06764	2242	3650	0	0	0	0	0.33	1	1	0	0.67
182281001	1	4505 S. Maryland Parkway	Las Vegas	NV	89154	35.927901	-114.972061	12360	15488	0	0	1.67	0	3.67	2.67	25.33	26.33	0.67
